WZ_CD,Emp_2011,Empl_SIC_A,Empl_SIC_B,Empl_SIC_C,Empl_SIC_D,Empl_SIC_E,Empl_SIC_F,Empl_SIC_G,Empl_SIC_H,Empl_SIC_I,Empl_SIC_J,Empl_SIC_K,Empl_SIC_L,Empl_SIC_M,Empl_SIC_N,Empl_SIC_O,Empl_SIC_P,Empl_SIC_Q,Empl_SIC_RS,Empl_SIC_T,Empl_SIC_U
E33032406,280,0,0,12,0,0,28,61,11,10,61,5,4,19,18,7,12,13,18,1,0
E33032407,428,0,0,8,2,0,29,23,11,21,24,2,6,48,22,3,159,25,40,5,0
E33032408,616,1,0,5,0,0,40,126,55,69,19,30,18,41,29,26,20,76,60,1,0
E33032409,284,0,0,7,0,1,19,33,7,21,23,8,5,77,15,2,13,23,29,1,0
E33032410,566,1,0,17,1,0,118,73,22,69,12,10,9,30,38,6,80,32,43,4,1
E33032411,367,0,0,7,1,0,76,59,22,17,14,4,1,18,43,4,9,41,48,3,0
E33032412,888,0,0,9,0,1,15,20,5,19,10,29,4,21,7,673,28,29,17,1,0
E33032413,380,0,0,5,0,1,77,31,20,29,15,4,9,20,45,76,15,17,11,4,1
E33032414,635,1,0,26,0,0,96,153,65,20,88,10,3,39,32,8,29,49,14,2,0
E33032415,442,0,0,14,0,0,61,36,19,9,27,9,12,64,42,9,38,61,28,13,0
E33032416,346,0,0,4,0,0,23,43,8,30,16,6,6,72,17,19,18,55,20,5,4
E33032417,390,0,1,5,1,2,61,47,11,22,14,1,6,21,19,1,68,83,23,2,2
E33032418,364,0,0,3,1,0,68,95,21,9,12,7,5,22,33,13,10,20,39,5,1
E33032419,487,0,0,4,0,3,29,45,7,11,10,2,5,22,21,5,191,115,15,2,0
E33032420,387,0,0,2,0,0,19,59,25,31,21,27,13,22,30,76,9,24,23,3,3
E33032421,366,0,1,6,3,2,49,42,37,34,17,16,24,55,16,1,19,26,15,3,0
E33032422,456,0,0,45,0,1,46,60,6,57,20,9,11,16,24,4,13,121,21,1,1
E33032423,296,0,0,6,1,0,12,17,2,47,8,6,7,29,17,2,26,97,17,2,0
E33032424,306,0,0,3,1,0,29,47,3,11,25,11,8,31,13,6,41,38,27,9,3
E33032425,507,0,0,19,0,2,50,57,15,44,25,11,15,45,80,2,20,58,55,7,2
E33032426,288,0,0,3,0,0,29,27,37,7,42,5,5,20,15,6,53,29,8,2,0
E33032427,354,0,0,6,0,1,22,36,5,15,17,11,18,54,15,0,72,34,24,22,2
E33032428,221,0,0,3,0,1,14,22,12,16,8,13,7,31,2,5,27,33,18,8,1
E33032429,317,0,0,4,0,0,27,11,2,23,12,14,13,29,17,4,27,79,13,39,3
E33032430,234,0,0,5,1,2,7,11,3,6,20,8,14,39,4,2,39,54,7,12,0
E33032431,292,0,0,10,1,0,25,63,18,6,16,20,22,31,14,3,6,14,36,7,0
E33032432,299,0,1,8,0,0,20,19,4,12,17,24,24,32,24,4,36,28,11,34,1
E33032433,351,0,0,5,0,2,14,31,4,16,18,8,13,31,8,2,97,80,20,2,0
E33032434,310,0,0,6,0,0,18,28,4,10,20,3,4,23,7,1,150,15,18,3,0
E33032435,305,0,0,5,1,1,28,35,9,10,18,6,16,26,20,2,72,24,29,3,0
E33032436,249,0,0,6,1,0,26,12,5,10,11,1,26,14,15,3,64,29,14,11,1
E33032437,487,0,0,7,0,0,34,55,6,11,24,6,8,27,54,3,168,35,46,3,0
E33032438,262,0,0,11,0,0,27,42,33,14,10,7,21,16,15,0,34,10,14,7,1
E33032439,381,0,0,2,0,1,45,26,12,24,17,9,7,20,20,6,29,137,21,4,1
E33032440,458,0,0,14,1,0,29,57,61,15,19,11,19,28,19,3,41,69,69,3,0
E33032441,333,1,0,8,0,0,28,38,2,13,16,8,11,32,24,3,71,61,10,6,1
E33032442,295,0,1,9,0,0,18,19,3,13,13,2,10,36,29,3,19,24,80,15,1
E33032443,416,0,0,19,0,0,48,52,8,14,20,12,39,55,18,4,22,59,37,9,0
E33032444,317,0,0,5,0,0,10,25,7,14,15,8,6,46,7,2,126,22,23,1,0
E33032445,266,0,0,7,0,0,8,39,5,15,9,3,13,15,14,3,101,17,16,1,0
E33032446,364,0,0,13,0,0,28,80,11,18,9,15,32,37,22,1,14,45,39,0,0
E33032447,245,0,0,2,0,0,11,14,1,9,11,11,12,32,7,3,110,11,9,1,1
E33032448,893,0,1,186,1,1,150,274,13,30,28,10,5,44,80,5,16,25,20,4,0
E33032449,307,0,0,8,0,1,41,51,10,15,11,2,6,9,82,35,11,12,11,2,0
E33032450,351,0,0,8,1,1,74,20,12,24,19,6,3,19,25,5,88,16,20,10,0
E33032451,281,0,0,2,0,1,19,82,74,8,1,1,6,9,11,46,3,8,10,0,0
E33032452,367,0,0,2,0,0,39,54,15,17,15,5,45,20,22,14,66,23,21,4,5
E33032453,552,0,0,60,0,0,96,82,45,39,11,6,10,27,42,3,66,16,48,1,0
E33032454,261,0,0,13,0,0,12,25,9,14,11,9,6,19,12,2,77,32,14,6,0
E33032455,294,0,0,0,1,0,31,23,3,31,18,14,7,57,16,2,27,38,21,5,0
E33032456,391,0,1,7,0,0,41,51,13,14,17,13,9,32,25,0,138,12,15,3,0
E33032457,380,0,0,6,1,1,38,119,9,21,11,8,16,36,36,5,19,28,20,6,0
E33032458,493,0,0,8,1,1,55,59,18,23,17,48,36,56,48,5,38,54,18,8,0
E33032459,286,0,0,11,0,0,30,22,6,7,17,12,48,52,6,3,16,32,15,7,2
E33032460,344,2,0,8,0,0,17,43,8,20,16,20,17,90,20,2,10,41,25,4,1
E33032461,474,3,0,7,0,0,22,113,13,34,25,15,26,38,39,4,62,37,33,3,0
E33032462,339,0,0,7,0,0,17,15,150,8,18,6,7,27,12,2,11,32,25,2,0
E33032463,512,0,0,12,0,0,14,54,23,41,12,82,27,87,14,5,44,50,43,3,1
E33032464,332,1,0,14,0,0,35,26,66,8,8,20,16,41,19,5,25,24,19,5,0
E33032465,246,0,0,5,0,0,16,16,6,7,21,7,21,30,14,6,14,48,19,16,0
E33032466,274,0,1,36,0,0,41,11,39,4,12,4,2,24,8,2,38,22,21,6,3
E33032467,539,0,0,17,0,0,56,66,8,20,25,22,27,52,38,8,57,117,18,7,1
E33032468,426,1,0,37,0,15,55,53,25,8,7,2,1,11,12,1,62,116,14,5,1
E33032469,306,0,0,10,1,30,24,52,27,15,15,2,4,11,18,4,7,11,73,2,0
